"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"5c09zarp",2,2,1,67,0.605006067137536,2.30287220948215,15,115,NA,0,4,-1.69786614234461,0
"5c09zarp",2,2,1,68,0.605006067137536,2.30287220948215,15,115,NA,0,4,-1.69786614234461,0
"5c09zarp",2,2,1,69,0.605006067137536,2.30287220948215,15,115,NA,0,4,-1.69786614234461,0
"5c09zarp",2,2,1,70,0.605006067137536,2.30287220948215,15,115,NA,0,4,-1.69786614234461,0
"5c09zarp",2,3,1,1,0,1,NA,120,NA,0,0,-1,1
"5c09zarp",2,3,1,2,0.777821359399147,2.82801369092604,50,100,NA,0,0,-2.05019233152689,0
"5c09zarp",2,3,1,3,0.777821359399147,2.82801369092604,50,100,NA,0,0,-2.05019233152689,0
"5c09zarp",2,3,1,4,0.777821359399147,2.82801369092604,50,100,NA,0,0,-2.05019233152689,0
"5c09zarp",2,3,1,5,0.777821359399147,2.82801369092604,50,100,NA,0,0,-2.05019233152689,0
"5c09zarp",2,3,1,6,0.777821359399147,2.05019233152689,50,100,100,1,1,-1.27237097212774,0
"5c09zarp",2,3,1,7,0.817906937597231,2.76761944526058,50,90,NA,0,1,-1.94971250766335,0
"5c09zarp",2,3,1,8,0.817906937597231,2.76761944526058,50,90,NA,0,1,-1.94971250766335,0
"5c09zarp",2,3,1,9,0.817906937597231,2.76761944526058,50,90,NA,0,1,-1.94971250766335,0
"5c09zarp",2,3,1,10,0.817906937597231,3.50731981864886,50,90,NA,0,1,-2.68941288105163,0
"5c09zarp",2,3,1,11,0.817906937597231,3.50731981864886,50,90,NA,0,1,-2.68941288105163,0
"5c09zarp",2,3,1,12,0.817906937597231,3.50731981864886,50,90,NA,0,1,-2.68941288105163,0
"5c09zarp",2,3,1,13,0.817906937597231,3.50731981864886,50,90,NA,0,1,-2.68941288105163,0
"5c09zarp",2,3,1,14,0.777821359399147,2.82801369092604,50,100,90,1,2,-2.05019233152689,0
"5c09zarp",2,3,1,15,0.777821359399147,2.82801369092604,50,100,NA,0,2,-2.05019233152689,0
"5c09zarp",2,3,1,16,0,2.63581387519446,NA,100,75,0,2,-2.63581387519446,0
"5c09zarp",2,3,1,17,0,2.63581387519446,NA,100,NA,0,2,-2.63581387519446,0
"5c09zarp",2,3,1,18,0.703447694999569,1.85415719495343,30,100,NA,0,2,-1.15070949995386,0
"5c09zarp",2,3,1,19,0.703447694999569,1.85415719495343,30,100,NA,0,2,-1.15070949995386,0
"5c09zarp",2,3,1,20,0.703447694999569,1.2788024449765,30,100,NA,0,2,-0.575354749976931,0
"5c09zarp",2,3,1,21,0.703447694999569,1.98225013997607,30,100,NA,0,2,-1.2788024449765,0
"5c09zarp",2,3,1,22,0.703447694999569,1.98225013997607,30,100,NA,0,2,-1.2788024449765,0
"5c09zarp",2,3,1,23,0.73970037338828,2.6248005329184,30,90,NA,0,2,-1.88510015953012,0
"5c09zarp",2,3,1,24,1.48687869616691,2.90231375151133,50,90,NA,0,2,-1.41543505534442,0
"5c09zarp",2,3,1,25,1.48687869616691,2.90231375151133,50,90,NA,0,2,-1.41543505534442,0
"5c09zarp",2,3,1,26,1.48687869616691,2.90231375151133,50,90,NA,0,2,-1.41543505534442,0
"5c09zarp",2,3,1,27,1.41400684546302,2.19182820486216,50,100,90,1,3,-0.77782135939914,0
"5c09zarp",2,3,1,28,1.41400684546302,2.19182820486216,50,100,NA,0,3,-0.77782135939914,0
"5c09zarp",2,3,1,29,1.41400684546302,2.19182820486216,50,100,NA,0,3,-0.77782135939914,0
"5c09zarp",2,3,1,30,0.703447694999569,1.98225013997607,30,100,50,-1,2,-1.2788024449765,0
"5c09zarp",2,3,1,31,0,2.81790693759723,NA,100,30,-1,1,-2.81790693759723,0
"5c09zarp",2,3,1,32,0,2.81790693759723,NA,100,NA,0,1,-2.81790693759723,0
"5c09zarp",2,3,1,33,0,2.81790693759723,NA,100,NA,0,1,-2.81790693759723,0
"5c09zarp",2,3,1,34,0,2.81790693759723,NA,100,NA,0,1,-2.81790693759723,0
"5c09zarp",2,3,1,35,0,2.81790693759723,NA,100,NA,0,1,-2.81790693759723,0
"5c09zarp",2,3,1,36,0,2.81790693759723,NA,100,NA,0,1,-2.81790693759723,0
"5c09zarp",2,3,1,37,0,2.81790693759723,NA,100,NA,0,1,-2.81790693759723,0
"5c09zarp",2,3,1,38,0,2.81790693759723,NA,100,NA,0,1,-2.81790693759723,0
"5c09zarp",2,3,1,39,0,2.81790693759723,NA,100,NA,0,1,-2.81790693759723,0
"5c09zarp",2,3,1,40,0,2.81790693759723,NA,100,NA,0,1,-2.81790693759723,0
"5c09zarp",2,3,1,41,0,1.81790693759723,NA,100,100,1,2,-1.81790693759723,0
"5c09zarp",2,3,1,42,0.721346326427401,1.31134049122265,35,100,NA,0,2,-0.589994164795249,0
"5c09zarp",2,3,1,43,0.721346326427401,1.31134049122265,35,100,NA,0,2,-0.589994164795249,0
"5c09zarp",2,3,1,44,0.652372687494391,0.652372687494391,35,120,100,1,3,0,0
"5c09zarp",2,3,1,45,0.652372687494391,1.30474537498878,35,120,NA,0,3,-0.652372687494389,0
"5c09zarp",2,3,1,46,0.652372687494391,1.89473953978403,35,120,NA,0,3,-1.24236685228964,0
"5c09zarp",2,3,1,47,0.652372687494391,1.89473953978403,35,120,NA,0,3,-1.24236685228964,0
"5c09zarp",2,3,1,48,0.652372687494391,1.89473953978403,35,120,NA,0,3,-1.24236685228964,0
"5c09zarp",2,3,1,49,0.817906937597231,2.37551424858274,80,120,NA,0,3,-1.55760731098551,0
"5c09zarp",2,3,1,50,0.817906937597231,1.55760731098551,80,120,NA,0,3,-0.739700373388279,0
"5c09zarp",2,3,1,51,0.817906937597231,1.55760731098551,80,120,NA,0,3,-0.739700373388279,0
"5c09zarp",2,3,1,52,0.817906937597231,1.55760731098551,80,120,NA,0,3,-0.739700373388279,0
"5c09zarp",2,3,1,53,0.817906937597231,1.55760731098551,80,120,NA,0,3,-0.739700373388279,0
"5c09zarp",2,3,1,54,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,55,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,56,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,57,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,58,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,59,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,60,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,61,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,62,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,63,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,64,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,65,1.72011670928258,2.34132740904,80,110,NA,0,3,-0.62121069975742,0
"5c09zarp",2,3,1,66,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,67,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,68,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,69,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,70,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,71,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,72,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,3,1,73,0.860058354641288,2.34132740904,80,110,NA,0,3,-1.48126905439871,0
"5c09zarp",2,4,1,2,0,1,NA,100,NA,0,0,-1,1
"5c09zarp",2,4,1,3,0,1,NA,100,NA,0,0,-1,0
"5c09zarp",2,4,1,4,0,1,NA,100,NA,0,0,-1,0
"5c09zarp",2,4,1,5,0,1,NA,100,NA,0,0,-1,0
"5c09zarp",2,4,1,6,0,1,NA,100,80,1,1,-1,0
"5c09zarp",2,4,1,7,0,1,NA,100,80,1,2,-1,0
"5c09zarp",2,4,1,8,0,1,NA,100,NA,0,2,-1,0
"5c09zarp",2,4,1,9,0,1,NA,100,NA,0,2,-1,0
"5c09zarp",2,4,1,10,0.66897175856968,0.66897175856968,50,130,100,1,3,0,0
"5c09zarp",2,4,1,11,0.777821359399147,1.98936159543995,50,100,NA,0,3,-1.2115402360408,0
"5c09zarp",2,4,1,12,0.777821359399147,1.98936159543995,50,100,NA,0,3,-1.2115402360408,0
"5c09zarp",2,4,1,13,1.55760731098551,2.76085652187413,60,100,NA,0,3,-1.20324921088862,0
"5c09zarp",2,4,1,14,1.55760731098551,2.76085652187413,60,100,NA,0,3,-1.20324921088862,0
"5c09zarp",2,4,1,15,1.55760731098551,2.76085652187413,60,100,NA,0,3,-1.20324921088862,0
"5c09zarp",2,4,1,16,0.817906937597231,2.76085652187413,60,100,50,-1,2,-1.9429495842769,0
"5c09zarp",2,4,1,17,0.817906937597231,2.76085652187413,60,100,NA,0,2,-1.9429495842769,0
"5c09zarp",2,4,1,18,1.64046323534404,2.9770071521481,75,100,NA,0,2,-1.33654391680406,0
"5c09zarp",2,4,1,19,0.881941811798912,2.9770071521481,75,100,NA,0,2,-2.09506534034919,0
"5c09zarp",2,4,1,20,0.975187187108198,4.54948090448286,75,80,NA,0,2,-3.57429371737466,0
"5c09zarp",2,4,1,21,0.975187187108198,4.54948090448286,75,80,NA,0,2,-3.57429371737466,0
"5c09zarp",2,4,1,22,0.975187187108198,4.54948090448286,75,80,NA,0,2,-3.57429371737466,0
"5c09zarp",2,4,1,23,0.975187187108198,4.54948090448286,75,80,NA,0,2,-3.57429371737466,0
"5c09zarp",2,4,1,24,0.975187187108198,4.54948090448286,75,80,NA,0,2,-3.57429371737466,0
"5c09zarp",2,4,1,25,0,4.05275458035505,NA,90,77.5,0,2,-4.05275458035505,0
"5c09zarp",2,4,1,26,0,4.05275458035505,NA,90,NA,0,2,-4.05275458035505,0
"5c09zarp",2,4,1,27,0,4.05275458035505,NA,90,NA,0,2,-4.05275458035505,0
"5c09zarp",2,4,1,28,0,4.05275458035505,NA,90,NA,0,2,-4.05275458035505,0
"5c09zarp",2,4,1,29,0,3.37551424858274,NA,100,90,1,3,-3.37551424858274,0
"5c09zarp",2,4,1,30,0.9509900499,3.21008046369786,90,100,NA,0,3,-2.25909041379786,0
"5c09zarp",2,4,1,31,0.9509900499,3.21008046369786,90,100,NA,0,3,-2.25909041379786,0
"5c09zarp",2,4,1,32,0,4.05275458035505,NA,90,NA,0,3,-4.05275458035505,0
"5c09zarp",2,4,1,33,0,4.05275458035505,NA,90,NA,0,3,-4.05275458035505,0
"5c09zarp",2,4,1,34,0,3.37551424858274,NA,100,90,1,4,-3.37551424858274,0
"5c09zarp",2,4,1,35,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,36,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,37,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,38,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,39,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,40,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,41,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,42,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,43,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,44,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,45,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,46,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,47,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,48,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,49,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,50,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,51,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,52,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,53,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,54,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,55,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,56,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,57,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,58,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,59,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,60,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,61,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,62,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,63,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,64,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,65,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,66,0,4.37551424858274,NA,100,NA,0,4,-4.37551424858274,0
"5c09zarp",2,4,1,67,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,68,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,69,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,70,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
"5c09zarp",2,4,1,71,0,3.37551424858274,NA,100,NA,0,4,-3.37551424858274,0
